"",startCity,lastCity,Company,AirlineCode,StartDrome,ArriveDrome,StartTime,ArriveTime,Mode,AirlineStop,Week
"",BJS,CSX,中国国际航空公司,CA1343,首都国际机场,黄花机场,08:10,10:35,JET,0,123456日
"",BJS,CSX,中国南方航空(集团)公司,CZ3124,首都国际机场,黄花机场,10:55,13:30,320,0,123456日
"",BJS,CSX,上海航空公司,FM2257,南苑机场,黄花机场,10:55,12:45,738,0,123456日
"",BJS,CSX,中国国际航空公司,CA1349,首都国际机场,黄花机场,11:25,13:35,321,0,123456日
"",BJS,CSX,中国南方航空(集团)公司,CZ3146,首都国际机场,黄花机场,12:45,15:15,738,0,123456日
"",BJS,CSX,中国南方航空(集团)公司,CZ3128,首都国际机场,黄花机场,14:50,17:15,738,0,123456日
"",BJS,CSX,中国国际航空公司,CA1363,首都国际机场,黄花机场,17:00,19:15,JET,0,123456日
"",BJS,CSX,中国南方航空(集团)公司,CZ3142,首都国际机场,黄花机场,17:05,19:25,JET,0,123456日
"",BJS,CSX,中国南方航空(集团)公司,CZ3148,首都国际机场,黄花机场,19:55,22:20,320,0,135日
"",BJS,CSX,中国南方航空(集团)公司,CZ3634,首都国际机场,黄花机场,19:55,22:20,320,0,246
"",BJS,CTU,四川航空股份有限公司,3U8896,首都国际机场,双流国际机场,07:50,09:55,320,0,123456日
"",BJS,CTU,中国国际航空公司,CA1405,首都国际机场,双流国际机场,08:00,10:45,JET,0,123456日
"",BJS,CTU,中国南方航空(集团)公司,CZ6161,首都国际机场,双流国际机场,08:45,11:20,321,0,123456日
"",BJS,CTU,中国国际航空公司,CA4112,首都国际机场,双流国际机场,09:00,11:45,JET,0,123456日
"",BJS,CTU,中国国际航空公司,CA1415,首都国际机场,双流国际机场,10:00,12:30,321,0,123456日
"",BJS,CTU,四川航空股份有限公司,3U8882,首都国际机场,双流国际机场,10:55,13:50,321,0,123456日
"",BJS,CTU,中国国际航空公司,CA4102,首都国际机场,双流国际机场,11:00,13:45,321,0,123456日
"",BJS,CTU,中国国际航空公司,CA4114,首都国际机场,双流国际机场,12:00,14:45,JET,0,12456日
"",BJS,CTU,中国国际航空公司,CA422,首都国际机场,双流国际机场,13:00,15:35,319,0,123456日
