"",vertex,lng,lat,level
"",红果,104.470904,25.72032919,火车站
"",玉山,118.2431325,28.66606546,火车站
"",进贤,116.2526859,28.3603748,火车站
"",阳谷,115.8160295,36.10778909,火车站
"",郓城,115.9081413,35.60752485,火车站
"",银川,106.1809444,38.4979975,火车站
"",青铜峡,105.9383178,37.92466996,火车站
"",中宁,105.6737904,37.56125365,火车站
"",中卫,105.1966102,37.52773081,火车站
"",同心,105.9331381,37.00008011,火车站
"",固原,106.3119983,36.02726764,火车站
"",平凉,106.7141257,35.55687601,火车站
"",随州,113.4236867,31.72799528,火车站
"",英德,113.4462628,24.16470808,火车站
"",耒阳,112.8292347,26.41008618,火车站
"",鲁山,112.9098338,33.75472415,火车站
"",陇县,106.7730643,34.87694134,区县
"",肇东,126.0050997,46.08399518,火车站
"",安达,125.3282325,46.40849705,火车站
"",大庆,125.0183732,46.60471242,火车站
"",让湖路,124.8941449,46.66343004,火车站
"",富拉尔基,123.6529456,47.21644379,火车站
"",龙江,123.1855614,47.33528527,火车站
"",碾子山,122.8898607,47.52207252,火车站
"",扎兰屯,122.7504285,48.02402329,火车站
"",巴林,120.2515503,30.16567767,旅游景点
"",博克图,121.9248832,48.76077923,火车站
"",免渡河,121.0670048,49.09990622,火车站
"",牙克石,120.7441242,49.2866486,火车站
"",大雁,120.5588569,49.23795765,火车站
"",海拉尔,119.7501512,49.23600444,火车站
"",嵯岗,120.2515503,30.16567767,旅游景点
"",扎赉诺尔西,117.7014972,49.47821819,火车站
"",满洲里,117.4569147,49.59115484,火车站
"",郭家店,124.5843454,43.34850927,火车站
"",黄村,116.3380192,39.7265711,火车站
"",台前,115.870028,35.9695323,火车站
"",定陶,115.60238,35.0706513,火车站
"",鄄城,115.6783312,35.4300518,火车站
"",饶阳,115.723506,38.24333103,火车站
"",关林,112.5193216,34.64000993,火车站
"",汉阴,108.5128581,32.88275045,火车站
"",石泉县,108.2505184,33.06531602,区县
"",西乡,107.7674156,33.00071125,火车站
"",汉中,107.0365645,33.0963137,火车站
"",阳平关,106.0440563,32.97237582,火车站
"",广元,105.8277948,32.45653054,火车站
"",江油,104.7761913,31.78811916,火车站
"",绵阳,104.7238149,31.46550022,火车站
"",德阳,104.3964601,31.17224597,火车站
"",临颍,113.926773,33.8122999,火车站
"",汉沽,117.8125035,39.27862217,火车站
"",大营镇,115.7427681,37.32400923,火车站
"",黑山,122.1094135,41.70591739,火车站
"",新立屯,122.1832863,42.02628842,火车站
"",彰武,122.534924,42.39367798,火车站
"",甘旗卡,122.3627541,42.96447634,火车站
"",通辽,122.2774864,43.61146242,火车站
"",大安北,124.2465358,45.52443715,火车站
"",新肇,124.4198571,45.71683165,火车站
"",林源,120.2515503,30.16567767,旅游景点
"",银浪,124.8608615,46.49683488,火车站
"",泰康,124.4541307,46.87727895,火车站
"",涿州,115.9910763,39.48678197,火车站
"",高碑店,115.8652588,39.33449697,火车站
"",保定,115.4864533,38.86917342,火车站
"",定州,114.9793995,38.53623153,火车站
"",石家庄,114.4909803,38.01706724,火车站
"",邢台,114.4987515,37.07595091,火车站
"",邯郸,114.482675,36.60911773,火车站
"",鹤壁,114.2807332,35.76571487,火车站
"",西安南,109.108423,34.09863283,火车站
"",柞水,109.1533317,33.64485794,火车站
"",旬阳北,109.3038257,32.84646261,火车站
"",城固,107.3303914,33.1441119,火车站
"",镇安,109.1760016,33.42706121,火车站
"",安阳,114.3470293,36.11092634,火车站
"",江山,118.650358,28.77766269,火车站
"",慈利,111.1258366,29.42303715,火车站
"",麻阳,109.8094815,27.86171876,火车站
"",海阳,121.0039029,37.08697384,火车站
"",绥化,127.022118,46.65021241,火车站
"",庆安,127.5100198,46.89329661,火车站
"",铁力,128.0601093,46.98072139,火车站
"",朗乡,128.8847566,46.96487146,火车站
"",南岔,129.2869346,47.13921297,火车站
"",汤原,129.9327009,46.75319975,火车站
"",佳木斯,130.3912106,46.80992129,火车站
"",香兰,129.764352,46.65799298,火车站
"",浩良河,129.6448995,46.7347491,火车站
"",带岭,129.0273411,47.02965208,火车站
"",兴隆镇,127.1271974,46.44972935,火车站
"",呼兰,126.6541265,46.00403358,火车站
"",章丘,117.5056125,36.72786979,火车站
"",抚顺北,123.9239411,41.89433992,火车站
"",南杂木,124.4141371,41.97120769,火车站
"",清原,124.9424524,42.11129544,火车站
"",山城镇,125.4394845,42.38506444,火车站
"",梅河口,125.6914144,42.54062751,火车站
"",柳河,125.771738,42.29583582,火车站
"",三源浦,125.766124,42.06216351,火车站
"",通化,125.9867788,41.75941264,火车站
"",颍上,116.3131562,32.74576555,火车站
"",吴桥,116.3925285,37.63359863,火车站
"",陶赖昭,125.9457977,44.83253005,火车站
"",南宫东,115.7021371,37.17584034,火车站
"",庐江,117.18338,31.34680799,购物
"",桐城,116.9850501,31.05650762,火车站
"",安庆,117.0719993,30.5544905,火车站
"",阜南,115.5603548,32.6441489,火车站
"",日照,119.5388792,35.40987592,火车站
"",莒南,118.8537003,35.18887699,火车站
"",临沂,118.3505645,35.04260685,火车站
"",杨柳青,117.0086709,39.14872448,火车站
"",锦州南,121.1307444,41.02195257,火车站
"",台安,122.4371768,41.45218146,火车站
"",阿城,127.0028741,45.55711134,火车站
"",平山,123.6925752,41.24040069,区县
